member_id,password,name,phone,user_status,email,social_login,last_logged_at,created_at
553294,3srHnuWDC9,홍정훈,010-7836-9879,active,pcoe@daum.net,google,2024-11-26,2024-10-19
592731,E9ys6h1PlV,박영길,010-4483-9708,active,jeongho05@live.com,naver,2024-02-17,2024-03-15
446932,Tht9dfL59z,안미숙,010-8649-4626,active,eunyeonggim@live.com,google,2024-09-30,2024-02-29
984764,2oxwAv1A85,전시우,010-8270-1890,active,ryujihu@nate.com,facebook,2024-09-01,2024-09-09
984637,0bmckdgMVf,김영희,010-0041-1766,active,boramhwang@hotmail.com,facebook,2024-02-15,2024-03-08
822035,m8kb988uFl,김현정,010-3021-8950,active,seojuni@daum.net,facebook,2024-09-06,2024-10-14
130683,eZfNVTbbSo,김경자,010-2376-9798,active,seojungim@hanmail.net,facebook,2024-11-20,2024-05-27
785959,qC0SX8Cf3g,심영미,010-5417-2061,active,gimjiyeong@hotmail.com,google,2024-04-21,2024-01-22
611160,odE92ocfLz,이경수,010-1541-8673,active,eunseogim@live.com,naver,2024-01-13,2024-11-27
395647,iA1ajg9Q46,이영식,010-0228-9275,active,jseo@dreamwiz.com,kakao,2024-08-20,2024-07-10
520316,Q1pQRba8yw,김상현,010-3499-5226,active,imdohyeon@dreamwiz.com,naver,2024-10-27,2024-07-13
260152,bJKEQPdTjh,이경수,010-4630-4671,active,cunja08@daum.net,google,2024-07-12,2024-05-24
552925,RSTM6sVBwL,최은주,010-9957-2720,active,gimboram@naver.com,facebook,2024-09-09,2024-03-05
830877,DBZMSVmdyU,진준호,010-9372-8958,active,gyeonghyi38@live.com,kakao,2024-06-09,2024-08-14
325235,71p5B3yZ8L,이정웅,010-1196-2803,active,anyeongsug@live.com,naver,2024-06-14,2024-08-26
283326,PZTSBNfySa,심영자,010-4446-2374,active,rna@live.com,facebook,2024-12-29,2024-11-25
401784,BgdhK5EMzu,장수진,010-0491-4752,active,jiweon97@live.com,kakao,2024-03-01,2024-08-08
779520,v1e4XFFSj9,양지혜,010-1003-6095,active,ubag@nate.com,naver,2024-09-29,2024-07-05
609442,syhKkOYH75,최경희,010-0315-8723,active,xgim@nate.com,google,2024-07-31,2024-04-12
332690,tdUdfQfV6k,안승현,010-2396-5637,active,eunjeong70@nate.com,google,2024-08-30,2024-05-14
180089,5AluGx6zH1,최정식,010-5133-4345,active,eunyeongbag@daum.net,google,2024-07-23,2024-10-13
949248,4hMiFzOitZ,이영희,010-1767-1955,active,jihyeon85@nate.com,kakao,2024-06-06,2024-01-20
467850,OyC2yKZoGa,황옥순,010-7823-2565,active,yeonggil21@live.com,facebook,2024-11-16,2024-02-25
330077,84hQRyxGwI,박경수,010-3418-8842,active,yeweonjin@hotmail.com,google,2024-02-22,2024-06-08
984155,3nTuidjfCw,한현준,010-1035-7659,active,ksim@live.com,facebook,2025-01-01,2024-10-22
783352,MojvSnfQJJ,이보람,010-7518-9213,active,jgang@live.com,facebook,2024-12-07,2024-06-10
994165,CPZuMIzCVL,나지영,010-4449-3705,active,igeonu@gmail.com,naver,2024-12-07,2024-12-09
757496,NN5ogf5vKJ,고서현,010-7917-0391,active,myun@daum.net,facebook,2024-08-26,2024-03-22
716128,9ILjp65W6O,곽은경,010-0958-4059,active,mijeongbag@hanmail.net,kakao,2024-01-11,2024-11-15
619620,kdaY4XgFpA,이영철,010-7420-3988,active,jongsu73@gmail.com,facebook,2024-07-14,2024-01-12
143329,ta8Q9i3nrU,김지영,010-3920-4938,active,gimgyeongsug@hotmail.com,naver,2024-03-13,2024-04-06
415864,PoyhjsGdW6,손지아,010-1956-4210,active,yangyeongsu@nate.com,facebook,2024-10-20,2024-03-21
432404,guBkwSfWuX,박윤서,010-0106-7215,active,gimjiweon@daum.net,naver,2024-11-02,2024-07-22
806841,Er9TAPBxvq,김준호,010-3772-5621,active,seonghungweon@live.com,google,2024-08-18,2024-05-12
596386,Z8mpJjGhdB,김예진,010-4187-2922,active,baesunja@hanmail.net,google,2024-09-07,2024-09-17
921690,gL38qo4i5B,이성현,010-5461-3472,active,jumyeongja@naver.com,naver,2024-11-22,2024-08-09
938383,EVMlRgd8gP,강은영,010-8769-0306,active,jieungim@gmail.com,facebook,2025-01-03,2024-01-31
873460,11OG3RUdEl,김상현,010-7925-1248,active,jeongho32@gmail.com,google,2024-06-01,2024-07-10
920519,rX3uOMJrTM,최준호,010-2441-8260,active,gyeongsu15@gmail.com,naver,2024-06-15,2024-06-12
706079,ys8cC6dhiy,안지은,010-3709-6399,active,minseogbae@naver.com,naver,2024-11-03,2024-06-16
590861,R4UcHNsvyc,홍정남,010-5753-6085,active,junseogim@hanmail.net,google,2024-03-28,2024-12-25
278145,T7fxRUTSR3,김건우,010-1452-7463,active,bagmisug@hotmail.com,facebook,2024-08-23,2024-05-13
909660,qeNFyYsn6y,김미영,010-0897-4271,active,mgim@gmail.com,google,2024-12-28,2024-11-11
112824,ibrkE21IhW,이명자,010-2243-4841,active,ujinhwang@daum.net,naver,2024-07-09,2024-05-10
